 	 	160
̍	 	781
̧	 	807
͘	 	856
­	-	173
﹣	-	65123
＇	'	65287
－	-	65293
ʹ	'	697
ʻ	'	699
ʼ	'	700
ʽ	'	701
ʾ	'	702
ʿ	'	703
ˀ	'	704
ˁ	'	705
ˈ	'	712
ˌ	'	716
ˍ	'	717
ˎ	'	718
ˏ	'	719
ˑ	'	721
˒	'	722
˓	'	723
˔	'	724
˕	'	725
˖	'	726
˗	'	727
˞	'	734
ˤ	'	740
˥	'	741
˦	'	742
˧	'	743
˨	'	744
˩	'	745
́	'	769
̄	'	772
̟	'	799
̠	'	800
̪	'	810
̱	'	817
‐	-	8208
‒	-	8210
–	-	8211
—	-	8212
―	-	8213
⁃	-	8259
⁻	-	8315
₋	-	8331
͡	'	865
ʹ	'	884
ʺ	"	698
̨	.	808
˄	^	708
〜	~	12316
˂	<	706
˃	>	707
˅	v	709
﹗	!	65111
！	!	65281
‼	!!	8252
＂	"	65282
﹟	=	65119
＃	#	65283
﹩	$	65129
＄	$	65284
﹪	%	65130
％	%	65285
﹠	&	65120
＆	&	65286
﹙	(	65113
（	(	65288
⁽	|	8317
₍	|	8333
﹚	,	65114
）	)	65289
⁾	,	8318
₎	,	8334
﹡	*	65121
ˉ	-	713
＊	*	65290
﹐	.	65104
，	,	65292
﹑	`	65105
､	`	65380
﹒	-	65106
．	.	65294
｡	.	65377
／	/	65295
﹕	:	65109
：	:	65306
﹔	:	65108
；	;	65307
;	;	894
﹖	?	65110
？	?	65311
﹫	@	65131
＠	@	65312
［	[	65339
﹨	\	65128
＼	\	65340
］	]	65341
＾	^	65342
ˆ	^	710
＿	-	65343
﹍	...	65101
﹎	--	65102
﹏	__	65103
｀	`	65344
ˋ	`	715
`	`	8175
﹛	(	65115
｛	{	65371
｜	|	65372
﹜	)	65116
｝	}	65373
～	~	65374
¡	!	161
¦	|	166
￤	|	65508
῭	-	8173
΅	-	8174
΅	-	901
῁	.	8129
¨	..	168
¯	--	175
￣	--	65507
´	'	180
ˊ	'	714
´	'	8189
¸	'	184
¿	?	191
ǃ	!	451
ˇ	'	711
˘	'	728
˙	'	729
˚	'	730
˛	'	731
˜	'	732
˝	'	733
͵	.	885
ͺ	.	890
΄	.	900
۔	.	1748
‖	|	8214
‗	=	8215
‘	'	8216
’	'	8217
‚	'	8218
‛	.	8219
“	"	8220
”	"	8221
„	"	8222
‟	'	8223
′	'	8242
″	'	8243
‴	'	8244
‹	<	8249
›	>	8250
‽	?	8253
﹋	--	65097
﹉	---	65097
﹊	--	65098
﹌	--	65100
‾	-	8254
〈	{	12296
〉	}	12297
《	|	12298
¢	c	162
￠	o	65504
£	L	163
￡	L	65505
》	)	12299
¤	o	164
¥	Y	165
￥	Y	65509
「	r	12300
｢	r	65378
」	l	12301
｣	l	65379
『	r	12302
』	l	12303
【	[	12304
￦	YY	65510
】	]	12305
﹝	:	65117
〔	(	12308
﹞	:	65118
〕	)	12309
〖	[	12310
〗	]	12311
〘	[	12312
〙	]	12313
〚	[	12314
〛	]	12315
〝	"	12317
〞	"	12318
〟	"	12319
᾽	'	8125
᾿	'	8127
῍	'	8141
῎	'	8142
῏	'	8143
῀	'	8128
῝	'	8157
῞	'	8158
῟	'	8159
῾	'	8190
ː	:	720
₊	.	8330
﹢	+	65122
＋	+	65291
⁺	+	8314
⁄	/	8260
﹤	<	65124
＜	<	65308
﹦	-	65126
⁼	-	8316
₌	-	8332
＝	=	65309
﹥	>	65125
＞	>	65310
±	+-	177
«	<<	171
»	>>	187
×	x	215
÷	/	247
ǀ	|	448
ǁ	||	449
ǂ	t	450
￭	.	65517
￮	.	65518
￪	t	65514
￫	<	65515
→	>	8594
￬	l	65516
￩	.	65513
═	=	9552
￨	|	65512
║	||	9553	
╒	|	9554
╓	|	9555
╔	|	9556
╕	|	9557
╖	|	9558
╗	|	9559
╘	|	9560
╙	|	9561
╚	|	9562
╛	|	9563
╜	|	9564
╝	|	9565
╞	|	9566
╟	|	9567
╠	|	9568
╡	|	9569
╢	|	9570
╣	|	9571
╤	T	9572
╥	T	9573
╦	T	9574
╧	|	9575
╨	|	9576
╩	|	9577
╪	|	9578
╫	|	9579
╬	|	9580
§	S	167
©	(c)	169
¬	-	172
￢	-	65506
®	(R)	174
°	.	176
µ	u	181
¶	P	182
·	.	183
·	.	903
･	.	65381
…	...	8230
〒	|	12306
〓	=	12307
†	t	8224
‡	t	8225
•	.	8226
※	x	8251
⁰	.	8304
₀	.	8320
໐	o	3792
０	O	65296
¼	1/4	188
½	1/2	189
¾	3/4	190
₁	,	8321
➀	1	10112
➊	1	10122
㏠	1	13280
¹	1	185
１	1	65297
໑	o	3793
➁	2	10113
➋	2	10123
㏡	2	13281
²	2	178
２	2	65298
₂	2	8322
➂	3	10114
➌	3	10124
㏢	3	13282
³	3	179
３	3	65299
₃	3	8323
➃	4	10115
➍	4	10125
㏣	4	13283
４	4	65300
⁴	4	8308
₄	4	8324
➄	5	10116
➎	5	10126
㏤	5	13284
５	5	65301
⁵	5	8309
₅	5	8325
➅	6	10117
➏	6	10127
㏥	6	13285
６	6	65302
⁶	6	8310
₆	6	8326
➆	7	10118
➐	7	10128
㏦	7	13286
７	7	65303
⁷	7	8311
₇	7	8327
۸	^	1784
➇	8	10119
➑	8	10129
㏧	8	13287
８	8	65304
⁸	8	8312
₈	8	8328
➈	9	10120
➒	9	10130
㏨	9	13288
９	9	65305
⁹	9	8313
₉	9	8329
➉	10	10121
➓	10	10131
҂	|	1154
ª	a	170
À	A	192
Á	A	193
Â	A	194
Ã	A	195
Ä	A	196
Å	A	197
à	a	224
á	a	225
â	a	226
ã	a	227
ä	a	228
å	a	229
Ā	A	256
ā	a	257
Ă	A	258
ă	a	259
Ą	A	260
ą	a	261
Ǎ	A	461
ǎ	a	462
Ǟ	A	478
ǟ	a	479
Ǡ	A	480
ǡ	a	481
Ǻ	A	506
ǻ	a	507
Ȁ	A	512
ȁ	a	513
Ȃ	A	514
